playerID,yearID,R,AB,H,HR,RBI,BB,SO,BA,OBP,SLG,OPS
aaronha01,1955,105.0,468.0,131.0,13.0,69.0,28.0,39.0,0.2799145299145299,0.3220675944333996,0.4465811965811966,0.7686487910145963
aaronha01,1956,106.0,535.0,160.0,20.0,87.5,38.5,50.0,0.2969340091433115,0.3441644963048457,0.49322415310787404,0.8373886494127198
aaronha01,1957,118.0,559.6666666666666,173.33333333333334,22.0,89.0,38.0,51.333333333333336,0.30742508108185734,0.3510714962642991,0.5149135295486539,0.865985025812953
aaronha01,1958,109.0,608.6666666666666,195.66666666666666,32.333333333333336,110.0,47.666666666666664,57.666666666666664,0.32143731094774575,0.3696415573790919,0.566053130688255,0.9356946880673469
aaronha01,1959,116.0,608.3333333333334,198.0,33.333333333333336,106.33333333333333,51.0,53.666666666666664,0.32549385753031485,0.3760684808785609,0.5680164513258781,0.944084932204439
aaronha01,1960,102.0,615.0,205.66666666666666,37.666666666666664,116.66666666666667,55.666666666666664,53.666666666666664,0.33420178307394016,0.38815811586895926,0.5938957064140582,0.9820538222830174
aaronha01,1961,115.0,606.6666666666666,197.0,36.333333333333336,114.66666666666667,56.666666666666664,55.333333333333336,0.3240598511461463,0.3797020694611056,0.5825962713858095,0.9622983408469151
aaronha01,1962,127.0,607.3333333333334,197.33333333333334,37.666666666666664,123.0,55.666666666666664,60.333333333333336,0.32425208649371984,0.378053684877997,0.5985766394659119,0.9766303243439091
aaronha01,1963,121.0,595.0,186.66666666666666,39.666666666666664,124.66666666666667,60.666666666666664,66.66666666666667,0.31362013100882313,0.3742705836436215,0.592681037982075,0.9669516216256966
aaronha01,1964,103.0,608.6666666666666,196.33333333333334,41.0,126.0,66.66666666666667,77.0,0.3226256553760279,0.3870528049658853,0.59943741965586,0.9864902246217452
aaronha01,1965,109.0,597.6666666666666,193.0,37.666666666666664,117.66666666666667,68.66666666666667,71.0,0.3230824358013865,0.39110195982251694,0.5728830569663833,0.9639850167889005
aaronha01,1966,117.0,590.3333333333334,189.66666666666666,33.333333333333336,104.66666666666667,66.66666666666667,73.66666666666667,0.32138534397271573,0.38740584231006814,0.5533516834876414,0.9407575257977098
aaronha01,1967,113.0,581.0,178.66666666666666,33.333333333333336,103.66666666666667,66.0,74.33333333333333,0.3080736667539496,0.37585529185732897,0.5375520060516132,0.9134072979089423
